fold,model,C,n_estimators,max_depth,learning_rate,min_child_weight
1,logreg,0.3,,,,
1,xgb_clf,,300.0,4.0,0.1,10.0
2,logreg,0.3,,,,
2,xgb_clf,,300.0,4.0,0.1,10.0
3,logreg,10.0,,,,
3,xgb_clf,,300.0,4.0,0.03,10.0
4,logreg,3.0,,,,
4,xgb_clf,,300.0,4.0,0.03,10.0
5,logreg,1.0,,,,
5,xgb_clf,,200.0,3.0,0.03,3.0
6,logreg,1.0,,,,
6,xgb_clf,,200.0,3.0,0.03,3.0
7,logreg,1.0,,,,
7,xgb_clf,,200.0,3.0,0.03,3.0
8,logreg,10.0,,,,
8,xgb_clf,,300.0,3.0,0.1,5.0
9,logreg,10.0,,,,
9,xgb_clf,,200.0,4.0,0.1,3.0
10,logreg,10.0,,,,
10,xgb_clf,,200.0,3.0,0.03,3.0
